name,email,date_of_birth,mobile_no,name_clean,failure_reason
Kristina Hernandez,Kristina_Hernandez@martin.com,1963/08/21,12016,Kristina Hernandez,invalid_mobile
Robert Bush,Robert_Bush@simmons.com,01/10/1968,17296,Robert Bush,invalid_mobile
Rebecca Larson,Rebecca_Larson@shannon-long.com,01/14/1993,12481,Rebecca Larson,invalid_mobile
Brittany Watson,Brittany_Watson@hernandez.biz,1990/06/19,550599,Brittany Watson,invalid_mobile
John Prince,John_Prince@rodriguez-richardson.com,07-03-1976,940833,John Prince,invalid_mobile
Ashley Boyer,Ashley_Boyer@miller.com,20-10-1970,815421,Ashley Boyer,invalid_mobile
James Dean,James_Dean@garcia.com,1991/09/21,590115,James Dean,invalid_mobile
Natalie Gordon,Natalie_Gordon@zhang.com,23-03-2013,764475,Natalie Gordon,invalid_mobile;below_18
Ryan Smith,Ryan_Smith@simpson-smith.com,1976/07/06,229317,Ryan Smith,invalid_mobile
William Delgado,William_Delgado@russell.com,2007-08-16,71961335,William Delgado,below_18
Brian Johnson,Brian_Johnson@glover.com,06/06/1954,6134969,Brian Johnson,invalid_mobile
James Patel,James_Patel@ramos.com,04/21/1951,4207491,James Patel,invalid_mobile
Aimee Reyes,Aimee_Reyes@dunn.com,1954-12-14,3252852,Aimee Reyes,invalid_mobile
Edward Griffin,Edward_Griffin@mcconnell.net,01-12-1988,73951,Edward Griffin,invalid_mobile
Debra Baker,Debra_Baker@mitchell.com,2017/07/28,87896,Debra Baker,invalid_mobile;below_18
Yvette Kramer,Yvette_Kramer@greene.biz,05/13/1997,9038562,Yvette Kramer,invalid_mobile
Alyssa Williams DVM,Alyssa_Williams@huff.com,1958/03/16,25031,Alyssa Williams,invalid_mobile
John Cunningham,John_Cunningham@moore-norton.com,2002/10/07,89356,John Cunningham,invalid_mobile
Dana Gilbert,Dana_Gilbert@mclean-livingston.biz,30-04-1976,8521150,Dana Gilbert,invalid_mobile
Stephen Henry,Stephen_Henry@jones.com,1981/07/23,58641,Stephen Henry,invalid_mobile
Bradley James,Bradley_James@smith.com,1965-11-03,6789630,Bradley James,invalid_mobile
Melinda Peters,Melinda_Peters@schroeder-king.com,02/12/1973,275385,Melinda Peters,invalid_mobile
Robert Goodman,Robert_Goodman@atkinson.com,01/31/2010,81801,Robert Goodman,invalid_mobile;below_18
Leslie Moore,Leslie_Moore@waller.org,12/09/1984,1323 7891,Leslie Moore,invalid_mobile
Sarah Gray,Sarah_Gray@ryan-reese.org,08/27/1995,18121,Sarah Gray,invalid_mobile
Amy Haynes,Amy_Haynes@suarez.net,2000-01-28,57376,Amy Haynes,invalid_mobile
Gary Dean,Gary_Dean@harrison-farley.com,07/03/1955,519399,Gary Dean,invalid_mobile
Jonathan Duran,Jonathan_Duran@dixon.com,10/20/1981,289695,Jonathan Duran,invalid_mobile
Elizabeth Ruiz,Elizabeth_Ruiz@bell-ho.com,1979/02/02,697629,Elizabeth Ruiz,invalid_mobile
Caitlin Lewis,Caitlin_Lewis@miller.com,07/04/2007,7931512,Caitlin Lewis,invalid_mobile;below_18
Micheal Blackburn,Micheal_Blackburn@lewis.org,10/10/1962,7063 7879,Micheal Blackburn,invalid_mobile
Sheryl Mccarthy,Sheryl_Mccarthy@fox-johnson.org,03/29/1997,3859556,Sheryl Mccarthy,invalid_mobile
Lisa Smith,Lisa_Smith@johnson.com,09/21/2004,12546,Lisa Smith,invalid_mobile;below_18
Jared Juarez,Jared_Juarez@neal.info,12/04/1975,65986,Jared Juarez,invalid_mobile
Brett Castro,Brett_Castro@wilson.com,2005/03/11,875235,Brett Castro,invalid_mobile;below_18
Jessica Murray,Jessica_Murray@lewis.com,2000-09-08,97696,Jessica Murray,invalid_mobile
Austin Coffey,Austin_Coffey@wolf.biz,2010/07/03,782595,Austin Coffey,invalid_mobile;below_18
Shelly Jacobs,Shelly_Jacobs@jones.org,24-02-1977,9984906,Shelly Jacobs,invalid_mobile
Elizabeth Logan,Elizabeth_Logan@hale.org,2005/01/14,177789,Elizabeth Logan,invalid_mobile;below_18
Cody Anderson,Cody_Anderson@arroyo.com,1960-09-29,53651,Cody Anderson,invalid_mobile
Kayla Wood,Kayla_Wood@wallace.com,1999/03/06,393903,Kayla Wood,invalid_mobile
Paul Singh DDS,Paul_Singh@silva-callahan.com,11-11-1951,256683,Paul Singh,invalid_mobile
Thomas Moore,Thomas_Moore@cain.com,2009/07/24,36306,Thomas Moore,invalid_mobile;below_18
Linda Pacheco,Linda_Pacheco@moore.com,1969/01/17,4596047,Linda Pacheco,invalid_mobile
Jenny Clark,Jenny_Clark@soto.com,1976/07/08,271815,Jenny Clark,invalid_mobile
Patrick Guzman,Patrick_Guzman@ryan-todd.biz,1960/06/10,9436477,Patrick Guzman,invalid_mobile
Mr. Scott Peters,Scott_Peters@barnes-diaz.com,03/03/2013,3644880,Scott Peters,invalid_mobile;below_18
John Stevenson,John_Stevenson@horton.com,2000/06/08,598899,John Stevenson,invalid_mobile
Kristina Brooks,Kristina_Brooks@anderson.com,04/21/2004,72641,Kristina Brooks,invalid_mobile;below_18
Nancy Aguilar,Nancy_Aguilar@lane.com,08/11/1995,9751 6423,Nancy Aguilar,invalid_mobile
Robert Brown,Robert_Brown@perez.info,1991-06-26,813777,Robert Brown,invalid_mobile
Jessica Williams,Jessica_Williams@thomas-martin.com,08/24/1973,2647 2931,Jessica Williams,invalid_mobile
David Brown,David_Brown@coffey.com,04-03-1971,30431,David Brown,invalid_mobile
Dorothy Munoz,Dorothy_Munoz@martinez.net,01-01-1973,752553,Dorothy Munoz,invalid_mobile
Jason Lawson,Jason_Lawson@mcintyre.com,10-01-1997,780189,Jason Lawson,invalid_mobile
James Hall,James_Hall@smith.info,2008/01/31,858027,James Hall,invalid_mobile;below_18
Patricia Carpenter,Patricia_Carpenter@jordan-mendoza.org,17-12-1985,4425457,Patricia Carpenter,invalid_mobile
Jeff Cardenas,Jeff_Cardenas@cunningham.com,1969-08-10,4531605,Jeff Cardenas,invalid_mobile
Frank Madden,Frank_Madden@haley.net,1990/11/04,1185514,Frank Madden,invalid_mobile
George Tanner,George_Tanner@pacheco-olson.com,25-04-1958,96191,George Tanner,invalid_mobile
Jesse Frazier,Jesse_Frazier@webb-riley.com,11/02/1956,2243319,Jesse Frazier,invalid_mobile
Edward Russell,Edward_Russell@eaton-jones.com,03/31/1961,454155,Edward Russell,invalid_mobile
Diana Mcdonald,Diana_Mcdonald@dillon-johnson.com,03/09/1968,8910840,Diana Mcdonald,invalid_mobile
Randy Dawson,Randy_Dawson@johnson.com,05/25/1969,3704177,Randy Dawson,invalid_mobile
Jasmine Williams,Jasmine_Williams@levy.com,1979-01-25,93936,Jasmine Williams,invalid_mobile
Sara Young,Sara_Young@thornton.com,20-07-1984,735591,Sara Young,invalid_mobile
Christina Torres,Christina_Torres@rodriguez.net,08/29/2017,892383,Christina Torres,invalid_mobile;below_18
Maria Bailey,Maria_Bailey@quinn.com,08/09/1974,1331198,Maria Bailey,invalid_mobile
Charles Bartlett,Charles_Bartlett@thomas-wilson.com,07/09/2002,9629845,Charles Bartlett,invalid_mobile
Natalie Parker,Natalie_Parker@hernandez.com,15-02-1997,59446,Natalie Parker,invalid_mobile
Paula Hernandez DDS,Paula_Hernandez@obrien.com,1986-10-01,49086,Paula Hernandez,invalid_mobile
Jessica Jenkins,Jessica_Jenkins@small.com,1974/04/13,75096,Jessica Jenkins,invalid_mobile
Drew Henson,Drew_Henson@taylor.org,20-09-2018,698007,Drew Henson,invalid_mobile;below_18
Michael Davis,Michael_Davis@hill.org,2010/02/03,49850919,Michael Davis,below_18
Ian Ramos,Ian_Ramos@smith-edwards.info,23-06-2011,5515322,Ian Ramos,invalid_mobile;below_18
Anna Wright,Anna_Wright@nguyen-robertson.com,31-12-2000,5426709,Anna Wright,invalid_mobile
Ashley Anderson,Ashley_Anderson@bailey-rice.com,1998/01/02,28346,Ashley Anderson,invalid_mobile
Jennifer Wright,Jennifer_Wright@francis.org,1960-07-26,9076747,Jennifer Wright,invalid_mobile
Nicole Lopez,Nicole_Lopez@fox.com,25-03-2000,461409,Nicole Lopez,invalid_mobile
Tara Ellis,Tara_Ellis@faulkner.com,21-01-2013,65996,Tara Ellis,invalid_mobile;below_18
Hannah Elliott,Hannah_Elliott@edwards.com,05-02-1961,4880142,Hannah Elliott,invalid_mobile
Gavin Rodriguez,Gavin_Rodriguez@butler-hunt.com,09/17/2015,976137,Gavin Rodriguez,invalid_mobile;below_18
Johnny Jackson,Johnny_Jackson@gaines-brown.com,2002/01/07,439215,Johnny Jackson,invalid_mobile
Martin Garrett,Martin_Garrett@owens.com,1956/07/03,4124730,Martin Garrett,invalid_mobile
Terri Hayes,Terri_Hayes@williams.org,02/21/1962,2552880,Terri Hayes,invalid_mobile
Carolyn Garner,Carolyn_Garner@barker.com,1958-10-25,8988155,Carolyn Garner,invalid_mobile
Lisa Lee,Lisa_Lee@walker-vazquez.net,10/21/1961,2100428,Lisa Lee,invalid_mobile
Rodney Escobar,Rodney_Escobar@hughes.com,04/30/1976,24406,Rodney Escobar,invalid_mobile
Michelle Carter DVM,Michelle_Carter@lara.com,2016-04-26,33246,Michelle Carter,invalid_mobile;below_18
John Dunn,John_Dunn@delacruz.org,1984-01-11,625113,John Dunn,invalid_mobile
Terry Pierce,Terry_Pierce@warner-reyes.com,09/10/1964,9151 8459,Terry Pierce,invalid_mobile
David Buck,David_Buck@taylor-robinson.net,03/05/1968,28481,David Buck,invalid_mobile
Jennifer Newman,Jennifer_Newman@bell.com,1984/05/29,996087,Jennifer Newman,invalid_mobile
Cynthia Lee,Cynthia_Lee@lin-francis.com,05/24/2002,7189190,Cynthia Lee,invalid_mobile
Sylvia Clark,Sylvia_Clark@spencer.com,02/01/1952,149289,Sylvia Clark,invalid_mobile
Joseph Taylor,Joseph_Taylor@peck.net,03/29/1950,3532621,Joseph Taylor,invalid_mobile
Kathleen Barton,Kathleen_Barton@moreno.com,1959-11-10,91591,Kathleen Barton,invalid_mobile
Michael Harris Jr.,Michael_Harris@mcknight.com,21-02-2006,3416260,Michael Harris Jr.,invalid_mobile;below_18
Eric Benson,Eric_Benson@brooks.com,07/01/2013,1324058,Eric Benson,invalid_mobile;below_18
Curtis Butler,Curtis_Butler@king.info,10/12/1968,14771,Curtis Butler,invalid_mobile
Brittany Le,Brittany_Le@evans-harrison.com,1984/09/18,3191609,Brittany Le,invalid_mobile
Jeremiah Sims,Jeremiah_Sims@white-baldwin.com,1977/06/09,28096,Jeremiah Sims,invalid_mobile
David Davis,David_Davis@robinson-lee.net,1973/05/02,58916,David Davis,invalid_mobile
Tiffany Bond,Tiffany_Bond@mccall.com,12/05/1984,44416,Tiffany Bond,invalid_mobile
Patricia Chen,Patricia_Chen@williams-stevens.com,2014-02-14,358569,Patricia Chen,invalid_mobile;below_18
William Crawford,William_Crawford@anderson-williams.com,02/27/1955,2446928,William Crawford,invalid_mobile
Christina Roberts,Christina_Roberts@pruitt.com,08-10-2013,5548957,Christina Roberts,invalid_mobile;below_18
Jerome Scott,Jerome_Scott@hughes.info,1984/08/07,1679511,Jerome Scott,invalid_mobile
James Miles,James_Miles@mitchell-brown.net,07-01-1953,7903218,James Miles,invalid_mobile
Michael Downs,Michael_Downs@james.com,1992-01-27,3353071,Michael Downs,invalid_mobile
Kayla Wheeler,Kayla_Wheeler@marshall.com,1960/04/24,599109,Kayla Wheeler,invalid_mobile
Charles Martin,Charles_Martin@ramirez.org,12/13/1992,4412325,Charles Martin,invalid_mobile
Harold Bennett,Harold_Bennett@thomas.net,2013-12-02,1554351,Harold Bennett,invalid_mobile;below_18
Michael Swanson,Michael_Swanson@patel.com,1968/08/15,12671,Michael Swanson,invalid_mobile
Janet Mcdonald,Janet_Mcdonald@olson.org,08/13/1970,846171,Janet Mcdonald,invalid_mobile
Jacob Smith,Jacob_Smith@graves.com,1996-05-04,6550300,Jacob Smith,invalid_mobile
Alexa Webb,Alexa_Webb@owens.com,1963/07/21,124545,Alexa Webb,invalid_mobile
Louis Klein,Louis_Klein@phillips-allen.com,12/20/1965,3367 1863,Louis Klein,invalid_mobile
Tony Yu,Tony_Yu@esparza.com,06-11-1951,578805,Tony Yu,invalid_mobile
Lisa Goodman,Lisa_Goodman@floyd-vasquez.com,2008-11-05,7551307,Lisa Goodman,invalid_mobile;below_18
Kimberly Hernandez,Kimberly_Hernandez@moore-johnson.com,10/27/2008,78896,Kimberly Hernandez,invalid_mobile;below_18
Phillip Friedman,Phillip_Friedman@arnold.biz,1988-10-15,1929376,Phillip Friedman,invalid_mobile
Brian Lam,Brian_Lam@jones.com,04/09/2008,3411 1927,Brian Lam,invalid_mobile;below_18
Blake Mclaughlin,Blake_Mclaughlin@rogers.com,08-06-2016,70699583,Blake Mclaughlin,below_18
Billy Olsen,Billy_Olsen@cooper.com,1969-05-03,86056,Billy Olsen,invalid_mobile
Shawn Brock,Shawn_Brock@lee.com,09-09-1967,8254877,Shawn Brock,invalid_mobile
Danielle Jones,Danielle_Jones@nelson.com,1965-02-13,16871,Danielle Jones,invalid_mobile
Jim Gomez,Jim_Gomez@cox-moore.com,1956/06/04,143811,Jim Gomez,invalid_mobile
Sabrina Henderson,Sabrina_Henderson@reynolds.com,2008-02-20,4519243,Sabrina Henderson,invalid_mobile;below_18
David Pennington,David_Pennington@graham.com,1975/03/02,36206,David Pennington,invalid_mobile
Stephanie Bowman,Stephanie_Bowman@harvey-rodriguez.net,1951/05/21,9987944,Stephanie Bowman,invalid_mobile
Joseph Frazier,Joseph_Frazier@lopez-lewis.net,03/13/2010,41346,Joseph Frazier,invalid_mobile;below_18
Ryan Mclaughlin,Ryan_Mclaughlin@archer-snyder.com,2017-07-13,6722388,Ryan Mclaughlin,invalid_mobile;below_18
Tony Hall,Tony_Hall@gamble-brown.com,02-10-1951,76596,Tony Hall,invalid_mobile
John Obrien,John_Obrien@pearson-hansen.com,01/16/1958,380373,John Obrien,invalid_mobile
Barbara Johnson,Barbara_Johnson@valdez-brown.biz,23-05-2004,256605,Barbara Johnson,invalid_mobile;below_18
Carrie Miller,Carrie_Miller@taylor.com,01-04-2017,910407,Carrie Miller,invalid_mobile;below_18
Samantha Dean,Samantha_Dean@bennett.net,1961/02/13,2718451,Samantha Dean,invalid_mobile
Jamie Wilson,Jamie_Wilson@kane-french.info,2014-01-10,47161,Jamie Wilson,invalid_mobile;below_18
Carlos Acosta,Carlos_Acosta@hartman-zamora.com,2004-07-05,5026001,Carlos Acosta,invalid_mobile;below_18
Amy Bennett,Amy_Bennett@smith-chase.com,1964-01-26,25266,Amy Bennett,invalid_mobile
Dominique Wells,Dominique_Wells@carter-hurst.com,2014/05/29,80856,Dominique Wells,invalid_mobile;below_18
Michael Barton,Michael_Barton@marshall-henson.com,30-05-2007,29311,Michael Barton,invalid_mobile;below_18
Megan Riggs,Megan_Riggs@turner.net,04-03-1974,661233,Megan Riggs,invalid_mobile
Whitney Andrews,Whitney_Andrews@morris-zimmerman.com,26-12-1981,86756,Whitney Andrews,invalid_mobile
Catherine Jones,Catherine_Jones@adams-cole.com,1997/09/26,95931,Catherine Jones,invalid_mobile
William Andrews,William_Andrews@willis.com,1996-03-22,3711394,William Andrews,invalid_mobile
Kathleen Edwards,Kathleen_Edwards@clark.com,2017-08-08,75094807,Kathleen Edwards,below_18
Justin Johnson,Justin_Johnson@gordon.com,1954-02-05,13111,Justin Johnson,invalid_mobile
Valerie Young,Valerie_Young@mueller.com,07/14/1954,829539,Valerie Young,invalid_mobile
Samantha Perez,Samantha_Perez@bailey.org,23-06-1994,406497,Samantha Perez,invalid_mobile
Devin Allen,Devin_Allen@decker-frank.com,10/24/1975,52676,Devin Allen,invalid_mobile
Stephanie Little,Stephanie_Little@hicks-anderson.net,23-11-1950,8730597,Stephanie Little,invalid_mobile
Melanie Miller,Melanie_Miller@martinez.biz,05/15/1987,48116,Melanie Miller,invalid_mobile
Erica Beck,Erica_Beck@lane.com,23-04-1957,459363,Erica Beck,invalid_mobile
Toni Dunn,Toni_Dunn@chapman.com,08/31/1980,8967 4459,Toni Dunn,invalid_mobile
David Jackson,David_Jackson@stokes-guzman.com,08/25/1968,735651,David Jackson,invalid_mobile
Melanie Gates,Melanie_Gates@yang.com,05-01-2012,78743751,Melanie Gates,below_18
Jordan Lewis,Jordan_Lewis@nolan.net,14-12-1962,34596,Jordan Lewis,invalid_mobile
Michele Johnson,Michele_Johnson@johnson-james.net,04-10-2005,33671,Michele Johnson,invalid_mobile;below_18
Samantha Ryan,Samantha_Ryan@hernandez.com,2005-10-16,84616,Samantha Ryan,invalid_mobile;below_18
Christopher Hudson,Christopher_Hudson@conrad.com,17-12-1959,21286,Christopher Hudson,invalid_mobile
Zachary Williams,Zachary_Williams@jackson-dean.com,18-02-1978,7658953,Zachary Williams,invalid_mobile
Donna Davis,Donna_Davis@garza.com,1968/08/09,53051,Donna Davis,invalid_mobile
Christopher Nolan,Christopher_Nolan@black-copeland.biz,2017/11/17,459765,Christopher Nolan,invalid_mobile;below_18
Evelyn Hanna,Evelyn_Hanna@mitchell-perez.org,2016/04/27,778125,Evelyn Hanna,invalid_mobile;below_18
Jason Johnson,Jason_Johnson@edwards.com,02/13/1974,25696,Jason Johnson,invalid_mobile
Barbara Caldwell,Barbara_Caldwell@lopez.org,1950/05/09,8702443,Barbara Caldwell,invalid_mobile
Ronald Huff,Ronald_Huff@miles.com,2000/03/21,9563044,Ronald Huff,invalid_mobile
Holly Norris,Holly_Norris@gutierrez-hurst.org,1969/01/06,8525392,Holly Norris,invalid_mobile
Derrick Carter,Derrick_Carter@coleman-byrd.info,05-04-1964,33971,Derrick Carter,invalid_mobile
Kenneth Golden,Kenneth_Golden@ramsey.com,2000/01/24,98796,Kenneth Golden,invalid_mobile
Grace Edwards,Grace_Edwards@jones-kelley.com,08/08/2006,2539 4751,Grace Edwards,invalid_mobile;below_18
Jonathan Rios,Jonathan_Rios@johnson.net,1981/09/19,489579,Jonathan Rios,invalid_mobile
Mackenzie Miller,Mackenzie_Miller@bender-stanton.com,04/29/2015,5541943,Mackenzie Miller,invalid_mobile;below_18
Tammy Taylor,Tammy_Taylor@pace.com,1950-07-12,6704671,Tammy Taylor,invalid_mobile
Reginald King,Reginald_King@turner.net,04-10-1981,3018387,Reginald King,invalid_mobile
Matthew Fletcher,Matthew_Fletcher@perez.com,2005/02/09,191049,Matthew Fletcher,invalid_mobile;below_18
Elizabeth Jordan,Elizabeth_Jordan@schroeder-mcdaniel.com,01/07/2004,3007 4335,Elizabeth Jordan,invalid_mobile;below_18
Sally Santiago,Sally_Santiago@bowers.net,21-02-1973,58976,Sally Santiago,invalid_mobile
Jason Saunders,Jason_Saunders@campos.org,1995/10/06,2477245,Jason Saunders,invalid_mobile
Carol Hernandez,Carol_Hernandez@rowe.net,08/04/1985,9701973,Carol Hernandez,invalid_mobile
James Hess DDS,James_Hess@humphrey-white.org,01/16/1990,572313,James Hess,invalid_mobile
Michael Stokes,Michael_Stokes@navarro.com,06/11/1979,6755470,Michael Stokes,invalid_mobile
Jeffrey Martinez,Jeffrey_Martinez@flynn-young.info,02-09-2017,32055439,Jeffrey Martinez,below_18
Joseph Bell,Joseph_Bell@gallegos.net,09/16/1958,91156,Joseph Bell,invalid_mobile
Pamela Black,Pamela_Black@powers-decker.biz,02/18/1992,43891,Pamela Black,invalid_mobile
Robert Jordan,Robert_Jordan@boyer.com,2015/03/02,739083,Robert Jordan,invalid_mobile;below_18
Kathy Baker,Kathy_Baker@griffin-williams.com,08/18/2000,3274433,Kathy Baker,invalid_mobile
Brian Bailey,Brian_Bailey@bush-hart.biz,1990-07-07,71636,Brian Bailey,invalid_mobile
Mitchell Clark,Mitchell_Clark@miller.com,1964/08/29,19311,Mitchell Clark,invalid_mobile
Kelly Mcintyre,Kelly_Mcintyre@mosley.net,24-03-2014,89346135,Kelly Mcintyre,below_18
Latoya Gonzales,Latoya_Gonzales@ross.org,17-12-2009,75186,Latoya Gonzales,invalid_mobile;below_18
Olivia Mayo,Olivia_Mayo@alexander.com,01/19/2017,5753231,Olivia Mayo,invalid_mobile;below_18
Todd Jennings,Todd_Jennings@house.com,1986/06/21,5296082,Todd Jennings,invalid_mobile
Paul Dixon,Paul_Dixon@smith.com,1965-03-25,14406,Paul Dixon,invalid_mobile
Julie Torres,Julie_Torres@harris.com,1992-01-22,6153134,Julie Torres,invalid_mobile
James Miller,James_Miller@ellis-fox.com,1999-09-01,6415543,James Miller,invalid_mobile
John Howard,John_Howard@zimmerman.com,02-06-1998,527469,John Howard,invalid_mobile
Anne Savage,Anne_Savage@moore.com,07/17/1990,13466,Anne Savage,invalid_mobile
Mrs. Amber Esparza,Amber_Esparza@hoffman.com,2004/12/30,12096,Amber Esparza,invalid_mobile;below_18
Todd Armstrong,Todd_Armstrong@carlson-smith.info,21-08-1973,7744906,Todd Armstrong,invalid_mobile
Aaron Richardson,Aaron_Richardson@savage-swanson.org,03-06-1991,161793,Aaron Richardson,invalid_mobile
Gregory Pollard,Gregory_Pollard@smith-hensley.com,25-07-1962,3299773,Gregory Pollard,invalid_mobile
Chelsea Madden,Chelsea_Madden@cooper.com,12/21/1962,2231440,Chelsea Madden,invalid_mobile
Misty Ramos,Misty_Ramos@stokes.org,11/03/2007,243207,Misty Ramos,invalid_mobile;below_18
Ryan Murphy,Ryan_Murphy@brooks.com,1974-10-28,51176,Ryan Murphy,invalid_mobile
Brittany Sandoval,Brittany_Sandoval@gibson.biz,21-02-2012,6974969,Brittany Sandoval,invalid_mobile;below_18
Kristen Banks,Kristen_Banks@gentry-curtis.biz,2003-12-03,70256,Kristen Banks,invalid_mobile
Julia Stokes,Julia_Stokes@wood.com,1959/03/21,21651,Julia Stokes,invalid_mobile
Amber Thompson,Amber_Thompson@mcdonald.net,1980/10/25,24291,Amber Thompson,invalid_mobile
Mrs. Valerie Norton,Valerie_Norton@villanueva.com,1967-07-05,83236,Valerie Norton,invalid_mobile
Jennifer Gonzales,Jennifer_Gonzales@morris.org,08/22/1993,9366190,Jennifer Gonzales,invalid_mobile
Jacqueline Hernandez,Jacqueline_Hernandez@johnson.com,1952/01/29,76556,Jacqueline Hernandez,invalid_mobile
Jennifer Miller,Jennifer_Miller@miller-ray.net,08-02-1971,996507,Jennifer Miller,invalid_mobile
Dawn Bond,Dawn_Bond@robinson.com,1974/01/05,59871,Dawn Bond,invalid_mobile
Tara Daniel,Tara_Daniel@ross.com,1982/07/01,9372196,Tara Daniel,invalid_mobile
Victor Serrano,Victor_Serrano@nelson-hudson.com,09-02-1959,9598338,Victor Serrano,invalid_mobile
Elizabeth Bell,Elizabeth_Bell@nguyen.org,03/29/2001,2019 2319,Elizabeth Bell,invalid_mobile
Julie Coleman,Julie_Coleman@knight.com,1951/01/04,332217,Julie Coleman,invalid_mobile
Jennifer Brown,Jennifer_Brown@cook.net,2010/01/10,54129959,Jennifer Brown,below_18
John Ramirez,John_Ramirez@smith-edwards.com,2000-03-07,30631,John Ramirez,invalid_mobile
Becky Hall,Becky_Hall@padilla.com,07/26/2006,215037,Becky Hall,invalid_mobile;below_18
Christine Smith,Christine_Smith@hansen.com,1963-04-27,70341,Christine Smith,invalid_mobile
Christopher Osborne,Christopher_Osborne@parker.com,1991/08/06,12466,Christopher Osborne,invalid_mobile
Jacob Hernandez,Jacob_Hernandez@young-jenkins.com,1969/05/20,26011,Jacob Hernandez,invalid_mobile
Jennifer Rogers,Jennifer_Rogers@campbell.com,1997/05/19,44671,Jennifer Rogers,invalid_mobile
Tammy Young,Tammy_Young@jenkins-jones.com,05/22/1989,8107723,Tammy Young,invalid_mobile
James Lewis,James_Lewis@gonzalez.org,05-03-2008,47055567,James Lewis,below_18
Charles Stanley,Charles_Stanley@waters.biz,1960-05-23,49406,Charles Stanley,invalid_mobile
Christina Garcia,Christina_Garcia@vargas.com,1999/06/11,624873,Christina Garcia,invalid_mobile
Heather Davis,Heather_Davis@small-haas.com,1951-11-03,675903,Heather Davis,invalid_mobile
Ashley Fuentes,Ashley_Fuentes@johnson.net,1959-04-28,72316,Ashley Fuentes,invalid_mobile
Jorge Brown,Jorge_Brown@thomas-green.org,2004/10/21,25446,Jorge Brown,invalid_mobile;below_18
Sierra Park MD,Sierra_Park@brewer.net,1985-10-19,2510418,Sierra Park,invalid_mobile
Todd Miller,Todd_Miller@blankenship-hernandez.com,10/17/1976,54616,Todd Miller,invalid_mobile
Crystal Luna,Crystal_Luna@davis.org,1961/02/24,43706,Crystal Luna,invalid_mobile
Devin Flores,Devin_Flores@wells-wang.com,1977-10-13,594807,Devin Flores,invalid_mobile
Danielle Snyder,Danielle_Snyder@hayes-davis.com,04/22/2013,90666,Danielle Snyder,invalid_mobile;below_18
Edward Carney,Edward_Carney@lopez.com,07-12-1991,145035,Edward Carney,invalid_mobile
Joseph Grimes,Joseph_Grimes@diaz.com,07/28/1961,66511,Joseph Grimes,invalid_mobile
April Fowler,April_Fowler@fitzgerald.com,13-12-2017,83236,April Fowler,invalid_mobile;below_18
Michelle Mccoy,Michelle_Mccoy@johnson.biz,1987/06/20,5999330,Michelle Mccoy,invalid_mobile
Alicia Stone MD,Alicia_Stone@oconnell.com,10/15/1973,42516,Alicia Stone,invalid_mobile
Micheal Lloyd,Micheal_Lloyd@vaughn.net,2016/04/30,325203,Micheal Lloyd,invalid_mobile;below_18
Richard Ortiz,Richard_Ortiz@burton.com,07/19/2013,8811 9227,Richard Ortiz,invalid_mobile;below_18
Jasmine Reyes,Jasmine_Reyes@miller.com,1968/09/10,54816,Jasmine Reyes,invalid_mobile
Tony Smith,Tony_Smith@davis.com,12/22/2005,6671 1831,Tony Smith,invalid_mobile;below_18
Mary Melton,Mary_Melton@dorsey-wheeler.biz,1951/11/24,74341,Mary Melton,invalid_mobile
William Griffin,William_Griffin@jenkins.com,1971/06/22,4299114,William Griffin,invalid_mobile
Scott Vargas,Scott_Vargas@elliott.net,1953-05-07,28386,Scott Vargas,invalid_mobile
Adam Guerra,Adam_Guerra@nelson-reynolds.com,14-06-1996,9600599,Adam Guerra,invalid_mobile
Christina Vang,Christina_Vang@miller.com,1996/04/05,2106812,Christina Vang,invalid_mobile
Nicole Williams,Nicole_Williams@rivera.com,08-05-1950,628269,Nicole Williams,invalid_mobile
Erica Powers,Erica_Powers@harris.org,04/15/1957,88026,Erica Powers,invalid_mobile
Angela Garcia,Angela_Garcia@fernandez-long.com,1951/01/27,43266,Angela Garcia,invalid_mobile
Melissa Brown,Melissa_Brown@walker-phillips.com,1995-02-05,99061,Melissa Brown,invalid_mobile
John Santiago,John_Santiago@rodriguez.net,08-01-2015,7427883,John Santiago,invalid_mobile;below_18
Donald Nelson,Donald_Nelson@fuller.com,04/16/1980,461871,Donald Nelson,invalid_mobile
Misty Bell,Misty_Bell@webb.com,04/08/1993,217155,Misty Bell,invalid_mobile
Vanessa Barnes,Vanessa_Barnes@mcknight.com,1975/06/30,6571958,Vanessa Barnes,invalid_mobile
Brian Austin,Brian_Austin@jones.com,1975/10/01,870147,Brian Austin,invalid_mobile
Melanie Blake,Melanie_Blake@anderson-martin.com,1981-06-10,384855,Melanie Blake,invalid_mobile
Marvin Franklin,Marvin_Franklin@andrews-kelley.info,2018-11-07,12200175,Marvin Franklin,below_18
Angela Massey,Angela_Massey@ford.com,1970-12-09,2971228,Angela Massey,invalid_mobile
Lisa Cole,Lisa_Cole@gaines-pham.org,11/06/1976,66221,Lisa Cole,invalid_mobile
Jeffrey Salas,Jeffrey_Salas@hernandez-weber.org,09/08/1991,8635 9023,Jeffrey Salas,invalid_mobile
Richard Reeves,Richard_Reeves@pena.biz,07/25/1973,48586,Richard Reeves,invalid_mobile
Heather Maldonado,Heather_Maldonado@warner-cole.info,1999/07/14,6672842,Heather Maldonado,invalid_mobile
